condition,condition_cui,label,label_cui,label_score,label_semantic_types,label_ncts,label_bucket,label_ncts_count
aneurysm,C0002940,aortic anastomosis,['C2609076'],0.009631674000000002,therapeutic or preventive procedure,['NCT01653769'],have_had,1.0
aneurysm,C0002940,hydrogel,['C0063083'],0.009352260000000001,pharmacologic substance|organic chemical,['NCT02037932'],looking_for,1.0
aneurysm,C0002940,sevoflurane,['C0074414'],0.00769904,pharmacologic substance|organic chemical,['NCT00538421'],looking_for,1.0
aneurysm,C0002940,il-10,['C0085295'],0.00765142,pharmacologic substance,['NCT03073889'],looking_for,1.0
aneurysm,C0002940,aspirin,['C0004057'],0.00758974,pharmacologic substance|organic chemical,['NCT04224675'],looking_for,1.0
aneurysm,C0002940,detachment,['C0595950'],0.0075790399999999996,pathologic function,['NCT04499508'],have_had,1.0
aneurysm,C0002940,ctag,['C0536940'],0.0057103019999999996,biologically active substance,['NCT00874250'],looking_for,1.0
aneurysm,C0002940,antihypertensive drugs,"['C0003364', 'C2879510']",0.00402012,pharmacologic substance|injury or poisoning,"['NCT01670903', 'NCT04224675']",looking_for,2.0
aneurysm,C0002940,atenolol,['C0004147'],0.003889,pharmacologic substance|organic chemical,['NCT04224675'],looking_for,1.0
aneurysm,C0002940,beta-blocker,['C0001645'],0.00185065,pharmacologic substance,['NCT04224675'],looking_for,1.0
aneurysm,C0002940,rosuvastatin,['C0965129'],0.00164946,pharmacologic substance|organic chemical,['NCT03061487'],looking_for,1.0
aneurysm,C0002940,il-6,['C0021760'],0.00145836,pharmacologic substance|biologically active substance,['NCT03073889'],looking_for,1.0
aneurysm,C0002940,vitamin k antagonist,"['C2267235', 'C1096489']",0.00130447,pharmacologic substance|therapeutic or preventive procedure,['NCT03285100'],looking_for,1.0
