disease,disease_cui,label,label_cui,score,label_semantic_type,label_nct_count,label_nct,label bucket
cataracts,C0086543,glaucoma,C0017601,0.4803809,disease or syndrome,45.0,NCT00453011  NCT01192321  NCT02390245  NCT04476810  NCT03417453  NCT03505827  NCT04200651  NCT04465864  NCT02183831  NCT01726543  NCT02891317  NCT04516889  NCT03713268  NCT00001617  NCT01085357  NCT03278587  NCT01142960  NCT02042703  NCT02312362  NCT03273907  NCT02658071  NCT03506542  NCT01305616  NCT04430647  NCT03889652  NCT01887873  NCT00687791  NCT00005911  NCT04328207  NCT04295122  NCT04161963  NCT04202562  NCT04334473  NCT01298635  NCT00695747  NCT00477685  NCT02807935  NCT00434707  NCT02835482  NCT00345046  NCT00273221  NCT02434250  NCT04503356  NCT00280345  NCT03461978,have_had
cataracts,C0086543,presbyopia,C0033075,0.431662,disease or syndrome,22.0,NCT00347620  NCT00542581  NCT00624039  NCT00712231  NCT00963560  NCT01166971  NCT01257217  NCT01278420  NCT01299155  NCT02529488  NCT02578524  NCT02691741  NCT03117426  NCT03297086  NCT03454334  NCT03501654  NCT03688399  NCT03726606  NCT03844828  NCT03997890  NCT04054427  NCT04522427,have_had
cataracts,C0086543,ocular inflammation,C4020969,0.42206972000000004,disease or syndrome,17.0,NCT00198445  NCT00405730  NCT00904904  NCT01230125  NCT01298752  NCT01426854  NCT01591161  NCT01591655  NCT01767012  NCT01847638  NCT01996839  NCT02208297  NCT02329743  NCT02786901  NCT02973880  NCT03580473  NCT03739528,have_had
cataracts,C0086543,nuclear sclerosis,C0392557,0.4192519,disease or syndrome,4.0,NCT00312299  NCT00370955  NCT00717080  NCT01396629,have_had
cataracts,C0086543,myopia,C0027092,0.4192149,disease or syndrome,24.0,NCT00347620  NCT00532051  NCT01123928  NCT01210807  NCT01225952  NCT01241279  NCT01351233  NCT01872000  NCT02155348  NCT02338882  NCT02424162  NCT02609997  NCT02761850  NCT02985723  NCT03062085  NCT03152747  NCT03396003  NCT03454334  NCT03633695  NCT03751254  NCT03997890  NCT04063644  NCT04174924  NCT04482439,have_had
cataracts,C0086543,posterior capsule opacification,C1444680,0.41196634000000004,disease or syndrome,85.0,NCT03787576  NCT00478764  NCT02535819  NCT03749486  NCT02411487  NCT00576485  NCT01742910  NCT02698943  NCT00405730  NCT02028754  NCT01847638  NCT04072029  NCT02067429  NCT03889652  NCT03242486  NCT02264457  NCT02445274  NCT02825693  NCT00756327  NCT04163926  NCT00198445  NCT00624039  NCT02807935  NCT00001311  NCT01372657  NCT01732484  NCT02867189  NCT03309020  NCT03748381  NCT01109173  NCT03701139  NCT00333255  NCT02658071  NCT00838942  NCT01786356  NCT02609997  NCT03653520  NCT02155348  NCT01383057  NCT01734343  NCT01763151  NCT01774474  NCT04122664  NCT03579368  NCT03856944  NCT02137161  NCT04100031  NCT04230720  NCT01076309  NCT01867541  NCT01290068  NCT02183831  NCT01318499  NCT02626416  NCT02842151  NCT00786565  NCT02888210  NCT01382641  NCT01028872  NCT03751462  NCT00673803  NCT00932191  NCT01249144  NCT00934960  NCT03247751  NCT03455114  NCT03592615  NCT00428363  NCT01334658  NCT00716339  NCT01936701  NCT00312299  NCT02426385  NCT00762021  NCT03097562  NCT04161963  NCT00348270  NCT01605942  NCT01767012  NCT04187157  NCT03972670  NCT00760058  NCT01275118  NCT02155478  NCT01382823,have_had
cataracts,C0086543,following cataract surgery,C3468053,0.401016399,pathologic function,37.0,NCT00348582  NCT00432874  NCT00758199  NCT00825513  NCT00904904  NCT00905450  NCT01124045  NCT01140477  NCT01230125  NCT01244334  NCT01298752  NCT01471561  NCT01475643  NCT01515826  NCT01591161  NCT01591655  NCT01853072  NCT01872000  NCT01872611  NCT01996839  NCT02208297  NCT02235272  NCT02394379  NCT02424162  NCT02508337  NCT02521766  NCT02786901  NCT02973880  NCT03309020  NCT03356847  NCT03453827  NCT03593616  NCT04072029  NCT04208633  NCT04436198  NCT04465344  NCT04465864,have_had
cataracts,C0086543,intraocular pressure,C0430888,0.37656816000000004,disease or syndrome|diagnostic procedure,22.0,NCT00273221  NCT00386438  NCT00477685  NCT00695747  NCT00742950  NCT00870103  NCT01085357  NCT01298635  NCT01305616  NCT02073266  NCT02312362  NCT02547623  NCT02835482  NCT02891317  NCT03494257  NCT03506542  NCT03580473  NCT04138771  NCT04202562  NCT04295122  NCT04334473  NCT04476810,have_had
cataracts,C0086543,uveitis,C0042164,0.32118848,disease or syndrome|pathologic function,16.0,NCT00000119  NCT00001311  NCT00001609  NCT00001617  NCT00005911  NCT00403832  NCT00453011  NCT01192321  NCT01475643  NCT01694212  NCT02235272  NCT02508337  NCT02975895  NCT03309020  NCT03733730  NCT04516889,have_had
cataracts,C0086543,macular edema,C0271051,0.32115868,disease or syndrome,13.0,NCT00453011  NCT01774474  NCT01546402  NCT01694212  NCT04161963  NCT03832179  NCT01853072  NCT02084576  NCT03864133  NCT04063358  NCT04067856  NCT01872611  NCT03920878,have_had
cataracts,C0086543,keratotomy,C0197405,0.297618147,therapeutic or preventive procedure,20.0,NCT00825747  NCT01383057  NCT01553760  NCT02529488  NCT01763151  NCT01659801  NCT04128514  NCT02752646  NCT04345380  NCT04126187  NCT04126174  NCT04124952  NCT03280108  NCT02826421  NCT01946581  NCT02155270  NCT00742950  NCT02578524  NCT04054427  NCT01382823,have_had
cataracts,C0086543,eye surgery,C0038901,0.268966143,therapeutic or preventive procedure,35.0,NCT00176098  NCT00312299  NCT00759668  NCT01074606  NCT01142960  NCT01192321  NCT01200511  NCT01257217  NCT01290068  NCT01299155  NCT01323777  NCT01424189  NCT01510717  NCT01601665  NCT01605877  NCT01684007  NCT01848288  NCT02138019  NCT02151305  NCT02183831  NCT02194543  NCT02203747  NCT02487160  NCT02678962  NCT03060954  NCT03090256  NCT03117426  NCT03152500  NCT03748368  NCT04122651  NCT04122664  NCT04200651  NCT04246801  NCT04249076  NCT04465071,have_had
cataracts,C0086543,nuclear cataract,C0158551,0.24877702000000002,disease or syndrome|congenital abnormality,7.0,NCT00001613  NCT00001617  NCT00081991  NCT01429532  NCT02523950  NCT02658071  NCT03593824,have_had
cataracts,C0086543,blindness,C0456909,0.23088052,disease or syndrome|sign or symptom,22.0,NCT00001395  NCT00001613  NCT00078299  NCT01298635  NCT01686308  NCT01774474  NCT01982006  NCT02390245  NCT02535819  NCT02593669  NCT02609997  NCT02633865  NCT02658071  NCT02793869  NCT02891317  NCT03215186  NCT03278587  NCT03505827  NCT03593616  NCT04143334  NCT04328207  NCT04516889,have_had
cataracts,C0086543,refractive lens exchange,C1532365,0.213774354,therapeutic or preventive procedure,13.0,NCT01253239  NCT01351233  NCT02409771  NCT02513745  NCT02515045  NCT02740010  NCT02838004  NCT03152747  NCT03454334  NCT03578276  NCT03637348  NCT04126174  NCT04174924,have_had
cataracts,C0086543,posterior chamber intraocular lens,C1298763,0.194373342,therapeutic or preventive procedure,20.0,NCT00273221  NCT00332774  NCT00333255  NCT00333268  NCT00347516  NCT00348270  NCT00405730  NCT00453011  NCT00710905  NCT00710931  NCT00760058  NCT00763360  NCT00904904  NCT00963742  NCT00969371  NCT01105585  NCT01602068  NCT02006888  NCT02502526  NCT03180255,have_had
cataracts,C0086543,keratometry,C0430885,0.18948288000000002,diagnostic procedure,23.0,NCT00563277  NCT00563667  NCT00684138  NCT00742950  NCT00758576  NCT00762216  NCT00934622  NCT00934804  NCT01074606  NCT01190631  NCT01225926  NCT01299155  NCT01441895  NCT01684007  NCT02155348  NCT02155959  NCT02426385  NCT02513745  NCT02780063  NCT02981186  NCT03748381  NCT03876782  NCT04323358,have_had
cataracts,C0086543,corrected visual acuity,C1275680,0.174184662,diagnostic procedure,51.0,NCT00348270  NCT00453011  NCT00698724  NCT00758576  NCT00793091  NCT00825747  NCT00845520  NCT00960700  NCT00969371  NCT01109173  NCT01123928  NCT01230060  NCT01248572  NCT01268540  NCT01292629  NCT01318499  NCT01382641  NCT01426854  NCT01441895  NCT01496066  NCT01605942  NCT01654159  NCT01714635  NCT01847638  NCT01853072  NCT01872611  NCT02006888  NCT02155959  NCT02182921  NCT02206594  NCT02219997  NCT02277314  NCT02338882  NCT02394379  NCT02409771  NCT02515045  NCT03054649  NCT03117426  NCT03152500  NCT03309020  NCT03396003  NCT03578276  NCT03579368  NCT03633695  NCT03701139  NCT03751033  NCT03931629  NCT04005651  NCT04074954  NCT04166578  NCT04334473,have_had
cataracts,C0086543,congenital cataract,C0009691,0.15807735,congenital abnormality,11.0,NCT01800708  NCT01844258  NCT02581046  NCT02761850  NCT02793869  NCT03215186  NCT03216655  NCT03240848  NCT03593824  NCT03907358  NCT04441268,have_had
cataracts,C0086543,phacotrabeculectomy,C1167708,0.148347342,therapeutic or preventive procedure,6.0,NCT00273221  NCT00434707  NCT00477685  NCT00687791  NCT01298635  NCT03506542,have_had
cataracts,C0086543,corneal surgery,C0197402,0.125969166,therapeutic or preventive procedure,5.0,NCT00494390  NCT04124952  NCT04126174  NCT04126187  NCT04128514,have_had
cataracts,C0086543,refractive surgery,C1274010,0.123192252,therapeutic or preventive procedure,18.0,NCT00532051  NCT00934804  NCT01979172  NCT02513745  NCT02939001  NCT03396003  NCT03454334  NCT03592615  NCT03637348  NCT03660865  NCT04054427  NCT04124952  NCT04126174  NCT04126187  NCT04128514  NCT04174924  NCT04204954  NCT04522427,have_had
cataracts,C0086543,glaucoma surgery,C0197489,0.10990411200000001,therapeutic or preventive procedure,10.0,NCT00434707  NCT00695747  NCT01887873  NCT03461978  NCT03713268  NCT04161963  NCT04200651  NCT04202562  NCT04295122  NCT04465864,have_had
cataracts,C0086543,endothelial keratoplasty,C1828408,0.10785950999999999,therapeutic or preventive procedure,5.0,NCT01361282  NCT02523950  NCT03355924  NCT04057053  NCT04072029,have_had
cataracts,C0086543,unilateral cataract,C0521706,0.10755262,acquired abnormality,12.0,NCT00762606  NCT01193127  NCT01387464  NCT01602068  NCT02101359  NCT02235272  NCT02329743  NCT02508337  NCT02765230  NCT03180255  NCT04246801  NCT04249076,have_had
cataracts,C0086543,trabeculectomy,C0040574,0.098500068,therapeutic or preventive procedure,12.0,NCT00273221  NCT00280345  NCT00434707  NCT00687791  NCT00690222  NCT00695747  NCT00825864  NCT01298635  NCT02138019  NCT02434250  NCT02807935  NCT04202562,have_had
cataracts,C0086543,lens extraction,C0197689,0.09416493,therapeutic or preventive procedure,11.0,NCT00934804  NCT01001117  NCT01014702  NCT01122576  NCT01225952  NCT01241279  NCT01253239  NCT01713660  NCT02409771  NCT03454334  NCT03778528,have_had
cataracts,C0086543,measurement of visual acuity,C0846620,0.092055354,diagnostic procedure,4.0,NCT00067483  NCT00078299  NCT00081991  NCT00594672,have_had
cataracts,C0086543,corneal topography,C0524957,0.06963561600000001,diagnostic procedure,12.0,NCT01299155  NCT01441895  NCT01659801  NCT01714635  NCT01978106  NCT03111550  NCT03500198  NCT03501654  NCT04058314  NCT04059796  NCT04265820  NCT04392349,have_had
cataracts,C0086543,spectral domain optical coherence tomography,C5206576,0.06414115199999999,diagnostic procedure,4.0,NCT04161963  NCT02835482  NCT03832179  NCT03363295,have_had
cataracts,C0086543,developmental dyslexia,C0920296,0.32495832,mental or behavioral dysfunction,14.0,NCT00068835  NCT00245804  NCT00254644  NCT02217696  NCT02393729  NCT02622360  NCT02791841  NCT03448237  NCT04028310  NCT04157829  NCT04287530  NCT04382482  NCT04384718  NCT04384952,have_had
cataracts,C0086543,deficit,C4761312,0.23418548,disease or syndrome,13.0,NCT00254644  NCT04277351  NCT04384952  NCT02872870  NCT01860027  NCT01012778  NCT00607919  NCT02217696  NCT03364010  NCT04287530  NCT00245804  NCT00191906  NCT03285789,have_had
cataracts,C0086543,reading disorder,C0037789,0.152324406,mental or behavioral dysfunction,8.0,NCT00068835  NCT00191906  NCT00245804  NCT01860027  NCT02316873  NCT04287530  NCT04382482  NCT04384718,have_had
cataracts,C0086543,learning disorder,C0023186,0.134260362,mental or behavioral dysfunction,7.0,NCT04382482  NCT04157829  NCT02217696  NCT03364010  NCT04287530  NCT02393729  NCT04384718,have_had
cataracts,C0086543,learning disability,C0751265,0.133514928,mental or behavioral dysfunction,9.0,NCT00245804  NCT00254644  NCT01860027  NCT02964884  NCT03364010  NCT04122820  NCT04323488  NCT04384952  NCT04386161,have_had
